INFOS GENERALES,,,,,,CONTEXTE DU RÉCIT,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPREINTE CARBONE,SCORES,,,,,,,,,,,,,Copie paramètres globaux,,,,,,,,,,,,,,
TITRE,ANNEE,PAYS,CANAL,TYPE,SAISON,LIEU(X) DE L'ACTION,EPOQUE DU RECIT,TRAITEMENT DU RECIT,TYPE DE MONDE,GENRE,POSITION DANS LE RECIT,GENRE,AGE,ETHNICITÉ,BEAUTE,POIDS,PAYS DE RESIDENCE,TYPE D'HABITAT,LIEU D'HABITAT,Appartement,Colocation,Maison,Studio,Hôtel,Ferme,Alternatif / Communautaire,Ne sait pas / Autre,ACTIVITE,SECTEUR D'ACTIVITE,CATEGORIE SOCIALE,ASPIRATIONS,,,,,,,,,,,,,,,,,,,,,VALEURS / TRAITS DE CARACTÈRE,,,,,,,,,,,,,,,,,,,,,EMPREINTE PERSO,CONSOMMATION & MATERIALISME,CONSOMMATION & MATERIALISME,MODES DE VIE,MODES DE VIE,RAPPORT AU VIVANT,RAPPORT AU VIVANT,CRISE ENVIRONNEMENTALE,CRISE ENVIRONNEMENTALE,Y A-T-IL UNE PRISE DE RECUL ?,EST-CE NECESSAIRE ?,Label / corpus,TYPOLOGIE,Corpus,Année,Pays,Canal,Type,Lieux action,Epoque,Traitement,Monde,Genre,Conso,Vie,Vivant,Climat,Recul,Nécessité
Nos coeurs meurtris,2022,USA,NETFLIX,FILM,,USA,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,"Protagoniste (""le/la gentil.le"")",Féminin,Jeune adulte (< 30 ans),Latino.a,4,2,USA,Appartement,Periurbain,Periurbain,,,,,,,,Serveuse.eur,Agronomie et alimentation,Pauvreté,Justice,Justice,,,,,,,,,,,,,,,,,,,,Courage / perseverance,Courage / perseverance,,,,,,,,,,,,,,,,,,,,Entre 2 et 10 tonnes,0,,2,,0,,0,,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable,Global Top 10 Netflix,N-P-N-N,Global Top 10 Netflix,2022,USA,NETFLIX,FILM,USA,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,0,2,0,0,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-P-N-N,Global Top 10 Netflix,2022,USA,NETFLIX,FILM,USA,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,0,2,0,0,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-P-N-N,Global Top 10 Netflix,2022,USA,NETFLIX,FILM,USA,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,0,2,0,0,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-P-N-N,Global Top 10 Netflix,2022,USA,NETFLIX,FILM,USA,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,0,2,0,0,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable
Buffy the vampire slayer,1997,USA,DISNEY+,SÉRIE,saisons 1 a 6,"USA, Californie, Sunnydale",1990-2000,Ni dystopique ni utopique,"Non-réaliste (monde imaginaire et différent du nôtre : créatures, planète, technologies...)","Action, Drame, Fantastique","Protagoniste (""le/la gentil.le"")",Féminin,Jeune adulte (< 30 ans),Caucasien/ne,4,2,USA,Maison,"Urbain, Periurbain",,,"Urbain, Periurbain",,,,,,Étudiant.e,Etudiant.e / élève,Classe moyenne,"Amour, Amitiés, Famille, Justice, Survie, sauver le monde",Amour,Amitiés,Famille,Justice,Survie,sauver le monde,,,,,,,,,,,,,,,Courage / perseverance,Courage / perseverance,,,,,,,,,,,,,,,,,,,,Entre 2 et 10 tonnes,0,,2,,1,,0,,"Oui, absolument !",Tout n'était pas indispensable,,N-P-N-N,,1997,USA,DISNEY+,SÉRIE,"USA, Californie, Sunnydale",1990-2000,Ni dystopique ni utopique,"Non-réaliste (monde imaginaire et différent du nôtre : créatures, planète, technologies...)","Action, Drame, Fantastique",0,2,1,0,"Oui, absolument !",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-P-N-N,,1997,USA,DISNEY+,SÉRIE,"USA, Californie, Sunnydale",1990-2000,Ni dystopique ni utopique,"Non-réaliste (monde imaginaire et différent du nôtre : créatures, planète, technologies...)","Action, Drame, Fantastique",0,2,1,0,"Oui, absolument !",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-P-N-N,,1997,USA,DISNEY+,SÉRIE,"USA, Californie, Sunnydale",1990-2000,Ni dystopique ni utopique,"Non-réaliste (monde imaginaire et différent du nôtre : créatures, planète, technologies...)","Action, Drame, Fantastique",0,2,1,0,"Oui, absolument !",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-P-N-N,,1997,USA,DISNEY+,SÉRIE,"USA, Californie, Sunnydale",1990-2000,Ni dystopique ni utopique,"Non-réaliste (monde imaginaire et différent du nôtre : créatures, planète, technologies...)","Action, Drame, Fantastique",0,2,1,0,"Oui, absolument !",Tout n'était pas indispensable
The Catch,2015,USA,DISNEY+,SÉRIE,Toute la série en 2 saisons,"USA, Los Angeles",2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)","Action, Comédie-romantique, Thriller / Policier","Protagoniste (""le/la gentil.le"")",Féminin,Entre 30 et 50 ans,Caucasien/ne,4,1,USA,Maison,Periurbain,,,Periurbain,,,,,,Détective,Sécurité,Classe aisée,"Amour, Amitiés, Famille, Carrière, Justice, Vengeance",Amour,Amitiés,Famille,Carrière,Justice,Vengeance,,,,,,,,,,,,,,,"Courage / perseverance, Respect / égalité, Ambition, Esprit d'équipe, Humour / Ironie",Courage / perseverance,Respect / égalité,Ambition,Esprit d'équipe,Humour / Ironie,,,,,,,,,,,,,,,,Entre 10 et 30 tonnes,-3,,-3,"On est pas au -4, selon moi, pour une raison. Les acteurs principaux portes plusieurs fois de suite les mêmes vêtements très reconnaissables (imprimés etc) malgré leurs habitations luxueuses.",0,,0,,"Peut-être un peu, en filigrane, par petites touches",Tout n'était pas indispensable,,M-M-N-N,,2015,USA,DISNEY+,SÉRIE,"USA, Los Angeles",2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)","Action, Comédie-romantique, Thriller / Policier",-3,-3,0,0,"Peut-être un peu, en filigrane, par petites touches",Tout n'était pas indispensable
,,,,,,,,,,,C'est compliqué,Masculin,Entre 30 et 50 ans,Caucasien/ne,4,2,USA,Colocation,Periurbain,,Periurbain,Periurbain,,,,,,Voleur de haut vol,Criminel,Inclassable / marginal,"Amour, Amitiés, Famille, Pouvoir, Richesse, Confort matériel, Vengeance, Survie",Amour,Amitiés,Famille,Pouvoir,Richesse,Confort matériel,Vengeance,Survie,,,,,,,,,,,,,"Courage / perseverance, Avarice, Ambition, Esprit d'équipe, Humour / Ironie",Courage / perseverance,Avarice,Ambition,Esprit d'équipe,Humour / Ironie,,,,,,,,,,,,,,,,Entre 0 et 2 tonnes,,,,,,,,,,,,M-M-N-N,,2015,USA,DISNEY+,SÉRIE,"USA, Los Angeles",2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)","Action, Comédie-romantique, Thriller / Policier",-3,-3,0,0,"Peut-être un peu, en filigrane, par petites touches",Tout n'était pas indispensable
